# Clip 6 word-timing table | src window 1350-1470s | comp = src - 1350
# format: comp_t  src_t  word
  35.48   1385.48   yes,
  35.78   1385.78   are
  35.96   1385.96   on
  36.18   1386.18   one
  36.44   1386.44   side
  36.84   1386.84   institutions
  37.56   1387.56   which
  38.00   1388.00   are
  38.14   1388.14   more
  38.30   1388.30   sticky.
  38.66   1388.66   But
  39.22   1389.22   on
  39.34   1389.34   the
  39.44   1389.44   other
  39.60   1389.60   side,
  39.94   1389.94   to
  39.96   1389.96   your
  40.10   1390.10   point,
  40.64   1390.64   also
  40.88   1390.88   retail
  42.22   1392.22   investors
  42.98   1392.98   who
  43.42   1393.42   are
  43.78   1393.78   pretty
  44.06   1394.06   spivy
  44.54   1394.54   and
  45.00   1395.00   just
  45.18   1395.18   rotate
  45.50   1395.50   in
  45.78   1395.78   and
  45.88   1395.88   out
  46.02   1396.02   of
  46.16   1396.16   Bitcoin,
  46.72   1396.72   but
  46.80   1396.80   through
  47.38   1397.38   the
  47.54   1397.54   ETF,
  48.04   1398.04   right?
  48.12   1398.12   So
  48.38   1398.38   I
  49.10   1399.10   feel
  49.28   1399.28   like
  49.44   1399.44   it's
  49.82   1399.82   very
  49.98   1399.98   self
  50.24   1400.24  -fulfilling.
  50.78   1400.78   And
  50.82   1400.82   that's
  51.00   1401.00   what
  51.14   1401.14   we're
  51.32   1401.32   currently
  51.64   1401.64   seeing
  51.98   1401.98   is
  52.22   1402.22   we
  52.46   1402.46   had
  52.60   1402.60   a
  52.68   1402.68   couple
  52.86   1402.86   of
  53.14   1403.14   I
  53.82   1403.82   think
  53.92   1403.92   we
  54.06   1404.06   had,
  54.48   1404.48   let's
  54.72   1404.72   say,
  54.92   1404.92   like
  55.00   1405.00   a
  55.10   1405.10   week
  55.50   1405.50   or
  56.00   1406.00   two,
  56.78   1406.78   like
  57.02   1407.02   pretty
  57.50   1407.50   negative
  58.06   1408.06   outflows.
  59.10   1409.10   And
  59.82   1409.82   that's
  60.14   1410.14   just
  60.42   1410.42   pretty
  61.12   1411.12   self
  61.44   1411.44  -fulfilling
  61.78   1411.78   at
  61.94   1411.94   this
  62.10   1412.10   point
  62.32   1412.32   where
  62.66   1412.66   that
  63.58   1413.58   needs
  63.82   1413.82   to
  64.00   1414.00   break
  64.34   1414.34   in
  65.08   1415.08   order
  65.24   1415.24   for
  65.46   1415.46   us
  65.66   1415.66   to,
  65.92   1415.92   I
  66.46   1416.46   think,
  67.46   1417.46   find
  67.68   1417.68   support
  68.12   1418.12   at
  68.32   1418.32   these
  68.54   1418.54   levels.
  69.74   1419.74   Yeah.
  70.42   1420.42   Would
  70.72   1420.72   you
  70.84   1420.84   say
  71.06   1421.06   the
  71.24   1421.24   four
  71.52   1421.52   year
  71.70   1421.70   cycle
  72.08   1422.08   is
  72.32   1422.32   dead?
  75.26   1425.26   I've
  75.84   1425.84   been
  76.42   1426.42   going
  76.84   1426.84   on
  77.08   1427.08   record
  77.44   1427.44   multiple
  77.90   1427.90   times
  78.36   1428.36   thinking
  78.78   1428.78   that
  79.18   1429.18   it
  79.32   1429.32   was
  79.54   1429.54   dead,
  80.20   1430.20   but
  80.38   1430.38   the
  80.82   1430.82   way
  81.10   1431.10   it's
  81.46   1431.46   currently
  81.78   1431.78   playing
  82.10   1432.10   out,
  82.56   1432.56   like
  82.66   1432.66   it
  83.46   1433.46   is.
  84.06   1434.06   Yeah,
  84.50   1434.50   it's
  85.18   1435.18   it's
  85.52   1435.52   very
  85.70   1435.70   self
  86.00   1436.00  -fulfilling.
  86.52   1436.52   It's
  86.60   1436.60   super
  86.80   1436.80   interesting.
  87.48   1437.48   It
  87.54   1437.54   also
  87.78   1437.78   has
  87.98   1437.98   to
  88.08   1438.08   do
  88.22   1438.22   with
  88.48   1438.48   liquidity
  88.94   1438.94   cycles.
  89.38   1439.38   But
  89.60   1439.60   I
  90.16   1440.16   do
  90.30   1440.30   believe
  90.68   1440.68   that
  91.04   1441.04   the
  91.76   1441.76   ultimate
  92.10   1442.10   driver,
  92.52   1442.52   which
  92.80   1442.80   is
  92.94   1442.94   pushed
  93.20   1443.20   forward
  93.56   1443.56   as
  93.88   1443.88   a
  93.98   1443.98   reason
  94.18   1444.18   for
  94.38   1444.38   the
  94.50   1444.50   four
  94.72   1444.72   year
  94.86   1444.86   cycle,
  95.52   1445.52   i
  95.68   1445.68  .e.
  95.82   1445.82   the
  95.98   1445.98   Bitcoin
  96.34   1446.34   halving,
  96.96   1446.96   is
  97.52   1447.52   becoming
  97.84   1447.84   increasingly
  98.46   1448.46   meaningless
  99.00   1449.00   as
  99.42   1449.42   like
  99.66   1449.66   block
 100.04   1450.04   rewards
 100.50   1450.50   half
 100.82   1450.82   to
 101.00   1451.00   a
 101.16   1451.16   point
 101.34   1451.34   where
 101.52   1451.52   it
 101.62   1451.62   doesn't
 101.90   1451.90   even
 102.10   1452.10   matter.
 102.74   1452.74   The
 103.24   1453.24   entire
 103.76   1453.76   dynamic
 104.20   1454.20   with
 104.48   1454.48   miners,
 105.20   1455.20   with
 105.34   1455.34   energy
 105.78   1455.78   pressure
 106.20   1456.20   and
 106.72   1456.72   input
 107.06   1457.06   cost
 107.30   1457.30   pressure
 107.62   1457.62   on
 107.82   1457.82   the
 107.96   1457.96   computes,
 109.04   1459.04   like
 109.14   1459.14   all
 109.32   1459.32   these
 109.50   1459.50   things
 109.68   1459.68   are
 109.84   1459.84   shifting
 110.18   1460.18   to
 110.38   1460.38   the
 110.48   1460.48   point
 110.70   1460.70   where
 110.94   1460.94   I
 111.14   1461.14   don't
 111.46   1461.46   think
 111.62   1461.62   it
 111.80   1461.80   really
 112.06   1462.06   matters
 112.44   1462.44   anymore
 112.78   1462.78   whether
 113.10   1463.10   or
 113.24   1463.24   not
 113.46   1463.46   like
 113.76   1463.76   miners
 114.28   1464.28   are
 114.54   1464.54   very
 114.90   1464.90   aggressively
 115.40   1465.40   selling
 115.80   1465.80   or
 115.98   1465.98   buying.
 116.92   1466.92   But
 117.44   1467.44   it
 117.64   1467.64   is
 117.94   1467.94   still
 118.16   1468.16   a
 118.36   1468.36   very
 118.50   1468.50   strong
 118.78   1468.78   narrative,
 119.18   1469.18   I
 119.38   1469.38   think.
