# Clip 1 word-timing table | src window 220-350s | comp = src - 220
# format: comp_t  src_t  word
  56.70    276.70   obviously
  56.98    276.98   being
  57.54    277.54   a
  58.36    278.36   maker
  58.76    278.76   across
  59.40    279.40   different
  60.02    280.02   exchanges,
  61.36    281.36   across
  61.50    281.50   different
  61.80    281.80   tokens,
  62.34    282.34   providing
  62.66    282.66   liquidity
  63.12    283.12   for
  63.52    283.52   anyone
  63.90    283.90   who
  64.14    284.14   wants
  64.42    284.42   to
  64.62    284.62   trade.
  65.18    285.18   The
  65.76    285.76   OTC
  66.18    286.18   desk
  66.52    286.52   is
  66.86    286.86   very
  67.08    287.08   much
  67.26    287.26   the
  67.60    287.60   other
  68.00    288.00   side
  68.28    288.28   of
  68.44    288.44   this.
  68.94    288.94   We
  69.36    289.36   help
  69.68    289.68   people
  70.10    290.10   execute
  70.58    290.58   specific
  71.16    291.16   transactions.
  71.74    291.74   So
  72.12    292.12   if
  72.78    292.78   they
  72.90    292.90   want
  73.10    293.10   to
  73.24    293.24   enter
  73.56    293.56   or
  73.78    293.78   exit
  74.10    294.10   the
  74.28    294.28   market
  74.60    294.60   in
  75.04    295.04   one
  75.62    295.62   specific
  76.06    296.06   direction
  76.62    296.62   in
  77.32    297.32   BDAT,
  78.04    298.04   BTC,
  78.56    298.56   Ethereum,
  78.98    298.98   Solana,
  79.96    299.96   or
  80.10    300.10   like
  80.50    300.50   it
  80.88    300.88   can
  81.08    301.08   go
  81.32    301.32   very,
  81.82    301.82   very
  82.04    302.04   long
  82.34    302.34   tail.
  83.18    303.18   We
  83.82    303.82   help
  84.06    304.06   them
  84.18    304.18   with
  84.34    304.34   the
  84.46    304.46   execution.
  85.00    305.00   So
  85.50    305.50   we
  86.22    306.22   leverage
  86.80    306.80   the
  87.40    307.40   algorithms
  87.88    307.88   and
  88.12    308.12   proprietary
  88.62    308.62   tech
  88.98    308.98   we
  89.16    309.16   have
  89.48    309.48   to
  90.04    310.04   minimize
  90.44    310.44   market
  90.96    310.96   impact,
  91.72    311.72   offer
  92.42    312.42   best
  92.74    312.74   pricing.
  93.34    313.34   The
  94.32    314.32   way
  94.48    314.48   we
  94.66    314.66   do
  94.80    314.80   this
  95.02    315.02   is
  95.30    315.30   quite
  96.10    316.10   different
  96.46    316.46   than
  96.80    316.80   I
  97.12    317.12   think
  97.28    317.28   a
  97.66    317.66   lot
  97.80    317.80   of
  97.98    317.98   other
  98.38    318.38   OTC
  99.00    319.00   desks
  99.36    319.36   where
  99.68    319.68   they
 100.30    320.30   would
 100.58    320.58   execute
 101.26    321.26   in
 101.78    321.78   agency.
 102.14    322.14   We
 102.58    322.58   do
 102.72    322.72   this
 103.00    323.00   in
 103.36    323.36   on
 103.72    323.72   principle
 104.14    324.14   trading.
 104.80    324.80   So
 104.94    324.94   the
 105.56    325.56   prices
 105.90    325.90   we
 106.20    326.20   offer
 106.54    326.54   is
 106.86    326.86   risk
 107.16    327.16   price.
 107.92    327.92   We
 108.02    328.02   warehouse
 108.54    328.54   that
 108.80    328.80   risk
 109.20    329.20   and
 109.80    329.80   then
 109.94    329.94   we
 110.10    330.10   trade
 110.48    330.48   on
 110.72    330.72   it
 110.94    330.94   very
 111.46    331.46   gradually.
 112.24    332.24   So
 112.34    332.34   the
 112.94    332.94   incentive
 113.34    333.34   to
 113.68    333.68   minimize
 113.98    333.98   price
 114.40    334.40   impact
 114.72    334.72   is
 114.98    334.98   very
 115.18    335.18   much
 115.40    335.40   aligned.
 115.80    335.80   And
 116.48    336.48   that
 116.64    336.64   is
 116.78    336.78   something
 117.10    337.10   I
 117.26    337.26   think
 117.48    337.48   especially
 118.50    338.50   like
 119.04    339.04   project
 119.44    339.44   specific
 119.94    339.94   and
 121.20    341.20   a
 121.30    341.30   lot
 121.40    341.40   of
 121.50    341.50   people
 121.70    341.70   in
 121.86    341.86   the
 121.94    341.94   market
 122.18    342.18   generally
 122.54    342.54   appreciates
 123.34    343.34   that
 123.80    343.80   alignment
 124.24    344.24   of
 124.52    344.52   incentives.
 125.24    345.24   Right.
 125.42    345.42   So
 125.54    345.54   in
 126.24    346.24   one
 126.90    346.90   sentence,
 127.36    347.36   it's
 127.68    347.68   helping
 128.02    348.02   people
 128.52    348.52   enter
 129.42    349.42   and
 129.64    349.64   exit
 129.90    349.90   positions
