# Clip 5 word-timing table | src window 1120-1300s | comp = src - 1120
# format: comp_t  src_t  word
  55.20   1175.20   writing
  55.58   1175.58   the
  55.84   1175.84   Wintermute
  56.32   1176.32   weekly
  56.64   1176.64   market
  57.02   1177.02   update
  57.40   1177.40   that
  57.82   1177.82   you
  57.94   1177.94   can
  58.08   1178.08   find
  58.32   1178.32   on
  58.44   1178.44   the
  58.54   1178.54   Wintermute
  58.98   1178.98   website.
  59.38   1179.38   I
  60.52   1180.52   strongly
  60.90   1180.90   recommend
  61.30   1181.30   to
  61.54   1181.54   read
  61.68   1181.68   it
  61.86   1181.86   like
  62.10   1182.10   there's
  62.42   1182.42   lots
  62.58   1182.58   of
  62.68   1182.68   very
  63.00   1183.00   insightful
  63.76   1183.76   things
  64.70   1184.70   to
  64.84   1184.84   see
  64.98   1184.98   there.
  66.26   1186.26   And
  66.30   1186.30   your
  66.50   1186.50   latest
  66.88   1186.88   note,
  67.78   1187.78   the
  67.96   1187.96   brutal
  68.30   1188.30   line,
  68.90   1188.90   you
  68.96   1188.96   said
  69.30   1189.30   the
  70.00   1190.00   marginal
  70.52   1190.52   risk
  71.44   1191.44   dollar
  71.78   1191.78   went
  72.20   1192.20   into
  72.48   1192.48   equities,
  73.30   1193.30   not
  73.44   1193.44   crypto.
  74.20   1194.20   So
  74.32   1194.32   kind
  75.48   1195.48   of
  75.62   1195.62   going
  75.82   1195.82   back
  76.02   1196.02   to
  76.18   1196.18   this
  76.52   1196.52   basically,
  77.06   1197.06   what's
  79.10   1199.10   happening?
  79.38   1199.38   Like
  79.76   1199.76   is
  80.44   1200.44   crypto
  80.82   1200.82   dead
  81.06   1201.06   for
  81.28   1201.28   retail
  81.60   1201.60   these
  81.80   1201.80   days?
  83.14   1203.14   I
  83.78   1203.78   think
  84.02   1204.02   it
  84.26   1204.26   is.
  85.68   1205.68   No,
  86.32   1206.32   it's
  86.96   1206.96   not
  87.10   1207.10   that
  87.30   1207.30   for
  87.48   1207.48   retail.
  88.42   1208.42   I
  89.00   1209.00   do
  89.80   1209.80   think
  90.18   1210.18   retail
  91.06   1211.06   and
  91.24   1211.24   especially
  91.68   1211.68   like
  92.64   1212.64   the
  93.34   1213.34   people
  93.62   1213.62   who've
  93.86   1213.86   been
  94.00   1214.00   in
  94.18   1214.18   crypto
  94.46   1214.46   since
  94.80   1214.80   21
  95.28   1215.28   or
  96.36   1216.36   before
  96.94   1216.94   the
  97.60   1217.60   way
  97.88   1217.88   they
  98.18   1218.18   see
  98.50   1218.50   an
  98.62   1218.62   old
  98.80   1218.80   season
  99.18   1219.18   is
  99.46   1219.46   the
  99.64   1219.64   extreme
 100.16   1220.16   exuberance,
 101.00   1221.00   which
 101.10   1221.10   we
 101.28   1221.28   saw
 101.52   1221.52   in
 101.66   1221.66   like
 101.84   1221.84   21
 102.34   1222.34   on
 102.98   1222.98   the
 103.08   1223.08   back
 103.28   1223.28   of
 103.54   1223.54   just
 104.10   1224.10   a
 104.50   1224.50   massive
 105.00   1225.00   capital
 105.40   1225.40   injection
 105.88   1225.88   where
 106.56   1226.56   all
 106.78   1226.78   risk
 107.08   1227.08   assets
 107.42   1227.42   moved
 107.76   1227.76   up.
 108.04   1228.04   And
 108.74   1228.74   I
 108.86   1228.86   think
 109.02   1229.02   that
 109.22   1229.22   is
 109.42   1229.42   a
 109.58   1229.58   little
 109.70   1229.70   bit
 109.84   1229.84   of
 109.96   1229.96   the
 110.12   1230.12   benchmark
 110.58   1230.58   which
 111.02   1231.02   people
 111.32   1231.32   are
 111.50   1231.50   putting
 111.72   1231.72   on
 111.94   1231.94   like
 112.14   1232.14   all
 112.40   1232.40   seasons.
 112.86   1232.86   I
 113.48   1233.48   don't
 113.68   1233.68   think
 114.00   1234.00   retail
 115.24   1235.24   is
 115.66   1235.66   completely
 116.32   1236.32   like
 116.74   1236.74   gone
 117.18   1237.18   or
 117.40   1237.40   gone
 117.62   1237.62   forever
 118.04   1238.04   out
 118.28   1238.28   of
 118.40   1238.40   crypto.
 118.72   1238.72   But
 119.42   1239.42   the
 119.54   1239.54   reality
 119.82   1239.82   is
 120.22   1240.22   the
 120.80   1240.80   exciting
 122.40   1242.40   teams
 123.16   1243.16   that
 123.78   1243.78   are
 124.18   1244.18   currently
 125.14   1245.14   being
 125.40   1245.40   played
 125.66   1245.66   out
 125.96   1245.96   in
 126.50   1246.50   equity,
 126.94   1246.94   I
 128.02   1248.02   think
 128.24   1248.24   are
 128.64   1248.64   very
 129.22   1249.22   like
 131.04   1251.04   complimentary
 132.28   1252.28   to
 133.30   1253.30   crypto
 133.62   1253.62   where
 133.96   1253.96   in
 135.00   1255.00   21,
 135.58   1255.58   22,
 135.90   1255.90   if
 136.10   1256.10   you
 136.16   1256.16   look
 136.32   1256.32   at
 136.44   1256.44   like
 136.66   1256.66   the
 137.04   1257.04   return
 137.44   1257.44   profile,
 138.18   1258.18   the
 138.24   1258.24   risk
 138.44   1258.44   profile,
 139.00   1259.00   the
 139.02   1259.02   volatility
 139.42   1259.42   of
 140.10   1260.10   crypto.
 140.48   1260.48   So
 140.58   1260.58   it
 141.14   1261.14   was
 141.32   1261.32   only
 141.70   1261.70   in
 141.92   1261.92   crypto
 142.26   1262.26   that
 143.04   1263.04   you
 143.50   1263.50   had
 143.68   1263.68   liquid
 144.00   1264.00   assets
 144.44   1264.44   which
 144.72   1264.72   offered
 145.22   1265.22   these
 145.60   1265.60   type
 145.92   1265.92   of
 146.10   1266.10   like
 146.40   1266.40   dynamics
 147.30   1267.30   with
 147.60   1267.60   a
 148.08   1268.08   high
 148.32   1268.32   degree
 148.56   1268.56   of
 148.72   1268.72   volatility.
 149.42   1269.42   The
 150.00   1270.00   reality
 150.28   1270.28   is
 150.62   1270.62   volatility
 151.18   1271.18   in
 151.52   1271.52   crypto
 151.94   1271.94   compressed
 152.88   1272.88   to
 153.42   1273.42   the
 153.52   1273.52   point
 153.74   1273.74   where
 154.12   1274.12   volatility
 154.88   1274.88   as
 155.16   1275.16   a
 155.26   1275.26   product
 155.50   1275.50   is
 155.72   1275.72   no
 155.96   1275.96   longer
 156.36   1276.36   the
 156.84   1276.84   go
 157.44   1277.44   to
 157.60   1277.60   for
 157.80   1277.80   crypto.
 158.12   1278.12   And
 158.64   1278.64   at
 158.76   1278.76   the
 158.86   1278.86   same
 159.10   1279.10   time,
 159.44   1279.44   the
 159.48   1279.48   equity
 159.72   1279.72   market
 160.06   1280.06   became
 160.34   1280.34   more
 160.52   1280.52   volatile.
 161.16   1281.16   So
 161.26   1281.26   that
 161.52   1281.52   volatility
 161.96   1281.96   profile
 162.70   1282.70   became
 163.84   1283.84   quite
 164.12   1284.12   equal
 164.58   1284.58   to
 165.12   1285.12   the
 165.26   1285.26   point
 165.50   1285.50   where
 165.84   1285.84   I
 166.52   1286.52   think
 166.64   1286.64   for
 166.84   1286.84   retail,
 167.56   1287.56   they
 168.02   1288.02   don't
 168.28   1288.28   really
 168.52   1288.52   care
 168.72   1288.72   that
 168.88   1288.88   much
 169.08   1289.08   about
 169.28   1289.28   the
 169.44   1289.44   underlying.
 170.02   1290.02   They
 170.10   1290.10   just
 170.34   1290.34   want
 170.56   1290.56   to
 170.76   1290.76   have
 172.04   1292.04   a
 172.18   1292.18   volatility
 172.64   1292.64   trade
 173.36   1293.36   around,
 173.82   1293.82   bond
 174.02   1294.02   around.
 174.28   1294.28   And
 174.72   1294.72   currently
 175.16   1295.16   equity
 175.62   1295.62   markets
 176.00   1296.00   are
 176.16   1296.16   offering
 176.48   1296.48   that
 176.68   1296.68   exact
 177.00   1297.00   thing.
 177.64   1297.64   So
 177.68   1297.68   that
 178.20   1298.20   I
 178.74   1298.74   think
 178.94   1298.94   is
 179.10   1299.10   one
 179.48   1299.48   of
 179.58   1299.58   the
 179.70   1299.70   main
 179.96   1299.96   reasons
