# Clip 8 word-timing table | src window 1675-1845s | comp = src - 1675
# format: comp_t  src_t  word
  60.26   1735.26   here
  60.44   1735.44   is
  60.56   1735.56   my
  60.70   1735.70   view
  60.88   1735.88   about
  61.06   1736.06   the
  61.18   1736.18   market.
  62.48   1737.48   Here
  62.88   1737.88   is
  62.98   1737.98   what
  63.12   1738.12   I
  63.24   1738.24   want
  63.38   1738.38   to
  63.50   1738.50   express.
  63.98   1738.98   So
  64.04   1739.04   we,
  64.32   1739.32   we
  64.98   1739.98   are
  65.10   1740.10   embedding
  65.54   1740.54   this
  65.72   1740.72   into
  65.96   1740.96   our
  66.22   1741.22   exchange
  66.50   1741.50   product,
  66.88   1741.88   but
  67.10   1742.10   also
  67.32   1742.32   maybe
  67.54   1742.54   into
  67.74   1742.74   paradigm,
  68.28   1743.28   like
  68.38   1743.38   as
  68.56   1743.56   a
  68.72   1743.72   dime
  69.02   1744.02   terminal,
  69.54   1744.54   basically
  69.78   1744.78   like
  70.14   1745.14   a
  70.26   1745.26   unified
  70.58   1745.58   experience.
  71.20   1746.20   So,
  71.90   1746.90   you
  71.92   1746.92   talk
  71.92   1746.92   with
  72.00   1747.00   an
  72.12   1747.12   AI,
  72.56   1747.56   it
  72.60   1747.60   knows
  72.76   1747.76   your
  72.90   1747.90   profile,
  73.48   1748.48   it
  73.48   1748.48   knows
  73.60   1748.60   the
  73.72   1748.72   exchange,
  74.14   1749.14   it
  74.16   1749.16   knows
  74.38   1749.38   how
  74.98   1749.98   to
  75.14   1750.14   route
  75.30   1750.30   your
  75.46   1750.46   trade.
  76.50   1751.50   Are
  76.92   1751.92   these
  77.06   1752.06   thematics
  77.42   1752.42   that
  77.58   1752.58   you
  77.68   1752.68   guys
  77.82   1752.82   are
  77.94   1752.94   exploring
  78.18   1753.18   these
  78.38   1753.38   days?
  81.22   1756.22   Yeah,
  81.86   1756.86   it
  81.88   1756.88   is.
  82.36   1757.36   I
  82.44   1757.44   think
  82.64   1757.64   it's
  82.82   1757.82   a
  82.90   1757.90   very
  83.04   1758.04   interesting
  83.46   1758.46   one
  83.68   1758.68   on
  83.82   1758.82   the
  83.92   1758.92   front
  84.16   1759.16   end,
  84.78   1759.78   intent
  85.84   1760.84   actions
  86.22   1761.22   of,
  86.58   1761.58   of
  87.08   1762.08   risk,
  87.72   1762.72   because
  88.26   1763.26   that's,
  88.56   1763.56   that's
  88.82   1763.82   ultimately
  89.16   1764.16   it.
  90.50   1765.50   For
  90.86   1765.86   us,
  91.44   1766.44   I
  91.50   1766.50   think,
  91.98   1766.98   for
  92.40   1767.40   you
  92.56   1767.56   guys,
  92.84   1767.84   that's,
  93.02   1768.02   that's
  93.42   1768.42   on
  93.54   1768.54   the,
  93.72   1768.72   on
  93.84   1768.84   the,
  94.18   1769.18   more
  94.32   1769.32   on
  94.44   1769.44   the
  94.56   1769.56   front
  94.84   1769.84   end
  95.02   1770.02   side.
  95.92   1770.92   For
  96.28   1771.28   us,
  96.64   1771.64   where
  96.74   1771.74   we
  96.90   1771.90   would
  97.08   1772.08   explore
  97.46   1772.46   the
  97.62   1772.62   AI
  97.88   1772.88   is,
  98.36   1773.36   is,
  98.84   1773.84   I
  98.90   1773.90   think,
  99.26   1774.26   on,
  99.46   1774.46   on
  99.66   1774.66   the
  99.80   1774.80   back
 100.08   1775.08   end
 100.24   1775.24   or
 100.50   1775.50   the
 100.66   1775.66   market
 100.98   1775.98   infrastructure
 101.52   1776.52   side
 101.90   1776.90   of
 102.06   1777.06   things
 102.26   1777.26   to
 102.44   1777.44   see
 102.62   1777.62   like,
 103.04   1778.04   can
 103.42   1778.42   we
 103.52   1778.52   do
 103.64   1778.64   quick
 103.88   1778.88   law
 104.02   1779.02   analysis?
 105.64   1780.64   What
 106.18   1781.18   type
 106.48   1781.48   of,
 106.82   1781.82   of
 107.86   1782.86   trades
 108.22   1783.22   are
 108.40   1783.40   there
 108.48   1783.48   to
 108.58   1783.58   do
 108.86   1783.86   where
 109.32   1784.32   or
 109.80   1784.80   like
 110.28   1785.28   make
 110.56   1785.56   or
 110.66   1785.66   take
 110.86   1785.86   fees?
 111.30   1786.30   Why
 111.42   1786.42   just
 111.62   1786.62   like
 111.82   1786.82   all
 112.36   1787.36   these
 112.54   1787.54   type
 112.74   1787.74   of
 112.88   1787.88   things
 113.20   1788.20   for
 113.88   1788.88   analysis
 114.38   1789.38   is,
 114.74   1789.74   is
 114.98   1789.98   where
 115.20   1790.20   I
 115.34   1790.34   think
 115.54   1790.54   we
 115.76   1790.76   would
 115.98   1790.98   currently
 116.40   1791.40   see
 116.90   1791.90   the
 117.68   1792.68   biggest
 118.02   1793.02   fits.
 118.80   1793.80   But
 118.86   1793.86   yeah,
 119.12   1794.12   intent
 119.38   1794.38   based
 119.66   1794.66   trading,
 120.16   1795.16   I
 120.16   1795.16   think
 120.28   1795.28   is
 120.40   1795.40   super
 120.64   1795.64   interesting.
 121.08   1796.08   You
 121.46   1796.46   need
 121.68   1796.68   a
 121.82   1796.82   lot
 122.00   1797.00   of
 122.30   1797.30   infrastructure
 123.40   1798.40   and
 124.12   1799.12   high
 124.52   1799.52   quality
 124.90   1799.90   data,
 125.38   1800.38   I
 125.42   1800.42   think,
 125.82   1800.82   to
 125.92   1800.92   be
 126.06   1801.06   able
 126.28   1801.28   to
 126.60   1801.60   allow
 127.52   1802.52   agents
 128.18   1803.18   to
 128.56   1803.56   express
 129.08   1804.08   risk.
 129.70   1804.70   Like,
 129.88   1804.88   let's
 130.04   1805.04   say,
 130.44   1805.44   I
 131.24   1806.24   think
 131.52   1806.52   there's
 131.92   1806.92   going
 132.02   1807.02   to
 132.12   1807.12   be
 132.26   1807.26   like
 132.48   1807.48   a
 132.70   1807.70   blue
 132.88   1807.88   wave
 133.34   1808.34   on
 133.56   1808.56   the
 133.66   1808.66   midterm
 133.94   1808.94   elections.
 134.76   1809.76   And
 135.20   1810.20   I
 135.30   1810.30   believe
 135.74   1810.74   the
 136.44   1811.44   Strait
 136.92   1811.92   of
 137.06   1812.06   Hormuz
 137.34   1812.34   is
 137.50   1812.50   going
 137.66   1812.66   to
 137.78   1812.78   open
 138.02   1813.02   in
 138.16   1813.16   14
 138.46   1813.46   days.
 139.38   1814.38   Okay,
 139.66   1814.66   then,
 139.90   1814.90   you
 139.92   1814.92   know,
 140.14   1815.14   like
 140.30   1815.30   potentially
 140.68   1815.68   short
 141.12   1816.12   oil.
 141.90   1816.90   There's
 142.34   1817.34   a
 142.42   1817.42   couple
 142.66   1817.66   of
 143.00   1818.00   industries
 144.26   1819.26   which
 144.72   1819.72   you
 144.98   1819.98   would
 145.10   1820.10   go
 145.28   1820.28   long
 145.58   1820.58   or
 145.74   1820.74   short
 146.02   1821.02   on
 146.18   1821.18   in
 146.34   1821.34   the
 146.42   1821.42   US,
 146.82   1821.82   depending
 147.06   1822.06   on
 147.24   1822.24   the
 147.38   1822.38   policy,
 147.86   1822.86   like,
 148.10   1823.10   all
 148.56   1823.56   these
 148.74   1823.74   things
 148.96   1823.96   need
 149.14   1824.14   to
 149.26   1824.26   be
 149.36   1824.36   able
 149.54   1824.54   to
 149.70   1824.70   process.
 150.10   1825.10   And
 150.94   1825.94   then,
 151.34   1826.34   for
 151.38   1826.38   example,
 151.76   1826.76   an
 151.88   1826.88   agent
 152.08   1827.08   also
 152.36   1827.36   needs
 152.62   1827.62   to
 152.80   1827.80   be
 152.92   1827.92   able
 153.12   1828.12   to
 153.34   1828.34   control
 153.82   1828.82   risk,
 154.48   1829.48   understand
 154.86   1829.86   your
 155.20   1830.20   risk
 155.52   1830.52   profile.
 156.24   1831.24   So
 156.36   1831.36   you
 157.08   1832.08   require
 157.64   1832.64   beta
 159.02   1834.02   draw,
 159.60   1834.60   max
 159.84   1834.84   drawdown,
 160.42   1835.42   like
 160.50   1835.50   all
 160.68   1835.68   these
 160.84   1835.84   type
 161.02   1836.02   of
 161.26   1836.26   data
 161.96   1836.96   points
 162.36   1837.36   you
 162.64   1837.64   require
 163.12   1838.12   on
 163.66   1838.66   the
 164.18   1839.18   entire
 164.54   1839.54   investable
 165.08   1840.08   universe,
 165.54   1840.54   and
 166.24   1841.24   then
 166.36   1841.36   digest
 166.68   1841.68   from
 166.96   1841.96   there.
 167.26   1842.26   I
 167.32   1842.32   think
 167.46   1842.46   it
 167.58   1842.58   makes
 167.76   1842.76   a
 167.88   1842.88   lot
 167.96   1842.96   of
 168.08   1843.08   sense.
 168.56   1843.56   I
 168.64   1843.64   don't
 168.84   1843.84   think
 169.00   1844.00   we're
 169.18   1844.18   that
 169.36   1844.36   far
 169.64   1844.64   off
 169.96   1844.96   in
