# Clip 4 word-timing table | src window 1010-1115s | comp = src - 1010
# format: comp_t  src_t  word
 100.10   1110.10   liquidation,
 100.92   1110.92   I
 100.98   1110.98   think
 101.14   1111.14   also
 101.36   1111.36   a
 101.60   1111.60   lot
 101.68   1111.68   of
 101.82   1111.82   people
 102.14   1112.14   were
 102.34   1112.34   quite
 102.58   1112.58   new
 102.86   1112.86   to
 103.08   1113.08   burp
 103.40   1113.40   taxes,
 104.26   1114.26   having
 104.44   1114.44   like
 104.66   1114.66   cross
 105.04   1115.04   margining
 105.56   1115.56   enabled
 105.94   1115.94   on
 106.14   1116.14   their
 106.28   1116.28   accounts,
 106.74   1116.74   like
 106.90   1116.90   absolutely
 107.46   1117.46   like
 107.92   1117.92   wiped
 108.26   1118.26   out.
 108.98   1118.98   So
