# Clip 3 word-timing table | src window 700-810s | comp = src - 700
# format: comp_t  src_t  word
  69.08    769.08   products.
  69.68    769.68   Stake
  69.86    769.86   rate
  70.00    770.00   has
  70.24    770.24   been
  70.42    770.42   very
  70.66    770.66   high,
  71.14    771.14   but
  72.00    772.00   increasingly
  72.48    772.48   in
  72.86    772.86   Europe
  73.18    773.18   and
  73.32    773.32   the
  73.40    773.40   US,
  75.52    775.52   we're
  75.60    775.60   also
  75.90    775.90   seeing
  76.28    776.28   that
  77.00    777.00   demand.
  77.54    777.54   So
  77.68    777.68   cautiously
  79.16    779.16   optimistic.
  80.62    780.62   Obviously,
  82.12    782.12   the
  82.22    782.22   price,
  83.56    783.56   like
  83.90    783.90   I
  84.26    784.26   think
  84.44    784.44   price
  84.78    784.78   creates
  85.12    785.12   narrative,
  85.82    785.82   creates
  86.02    786.02   price
  86.36    786.36   create
  86.58    786.58   narrative.
  87.64    787.64   So,
  87.96    787.96   but
  88.70    788.70   I
  88.84    788.84   could
  88.98    788.98   definitely
  89.20    789.20   see
  89.48    789.48   like
  89.70    789.70   once
  89.98    789.98   the
  90.12    790.12   market
  90.40    790.40   is
  90.70    790.70   back,
  91.16    791.16   because
  91.40    791.40   like
  92.18    792.18   we
  92.46    792.46   have
  92.60    792.60   to
  92.72    792.72   admit
  92.96    792.96   we're
  93.18    793.18   in
  93.26    793.26   a
  93.34    793.34   bear
  93.48    793.48   market
  93.78    793.78   now.
  94.34    794.34   I
  94.92    794.92   could
  95.08    795.08   definitely
  95.40    795.40   see
  95.66    795.66   the
  95.82    795.82   take
  96.06    796.06   rates
  96.38    796.38   on
  96.76    796.76   structured
  97.86    797.86   products
  98.30    798.30   being
  98.54    798.54   meaningfully
  99.04    799.04   higher
  99.32    799.32   than
  99.48    799.48   we
  99.64    799.64   had
 100.22    800.22   before.
 101.40    801.40   It
 101.40    801.40   is
 101.52    801.52   the
 101.62    801.62   demand
 101.94    801.94   is
 102.12    802.12   one
 102.32    802.32   thing,
 102.62    802.62   but
 102.68    802.68   then
 102.82    802.82   also
 103.02    803.02   the
 103.18    803.18   infrastructure
 103.60    803.60   is
 103.90    803.90   finally
 104.18    804.18   here.
 104.52    804.52   If
 105.10    805.10   you
 105.16    805.16   look
 105.32    805.32   at
 105.46    805.46   like
 105.64    805.64   volumes
 106.16    806.16   on
 106.58    806.58   screen
 107.02    807.02   on
 107.58    807.58   option
 108.32    808.32   exchanges,
 108.88    808.88   it's
